track_id,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,mode,speechiness,tempo,valence
fRz2zQ306uOQLAnwA0MgV7,36,0.728,0.58,579925,0.807,0,0.873,Minor,0.939,82.711,0.443
HQj7MBSHSkIW2NRiF2922z,32,0.979,0.395,479040,0.076,0.85,0.101,Major,0.0419,63.099,0.304
WbfbpFXUF0aMnDARk7SkAD,57,0.277,0.726,243413,0.861,4.12e-6,0.0589,Major,0.0695,91.962,0.711
hEqftMcBjrUMSN7na2MtNo,10,0.944,0.484,57813,0.797,9.57e-6,0.84,Minor,0.942,73.437,0.566
LiFqGDjTWr3c3lJeFfdRiV,11,0.862,0.341,711160,0.106,0.405,0.379,Major,0.04,130.735,0.0803
r0D3YmyHiBBdm2qauuQS2F,53,0.676,0.652,340000,0.323,0.00245,0.102,Major,0.0304,114.038,0.0753
FRVbbmSpXyg0ntw0YFsdrm,33,0.904,0.499,362307,0.663,0,0.911,Minor,0.962,69.822,0.248
9zO3gqW6xaex72UqLqekZc,13,0.824,0.603,174343,0.347,0,0.937,Minor,0.939,97.735,0.704
5FfRsFVKiHOi2ns4rDB8os,58,0.0922,0.572,140880,0.639,1.64e-5,0.563,Major,0.0506,179.857,0.804
U26kbjVMSRMEJCXJLBGMrl,33,0.96,0.244,375217,0.472,0.0647,0.379,Major,0.0365,103.363,0.0905
k2EhSH1aYDG2BWThTCrdDM,0,0.942,0.261,317676,0.0145,0.901,0.104,Major,0.0417,132.134,0.369
ju2qM8Xqg8lyUfvvzikW3x,24,0.823,0.552,387228,0.885,0,0.661,Major,0.957,85.421,0.286
VAagRBx5Q2xG6DPR0Dws5F,25,0.851,0.451,63552,0.408,0,0.812,Major,0.947,168.604,0.432
rtOOcYovdXwFzpP6vBX9Fz,57,1.26e-4,0.626,188600,0.791,0.0219,0.439,Major,0.0721,133.204,0.433
InmeA6BZGiH0Ewf6nV6Gxc,11,0.757,0.456,197413,0.924,0,0.808,Minor,0.922,85.663,0.226
EHSDfdgKZACC28KOgExcaV,27,0.934,0.6,602448,0.438,0,0.581,Major,0.951,81.972,0.294
04Bnbz1QHAo6V3L6RDHyAq,15,0.887,0.61,153600,0.92,0,0.723,Major,0.938,123.845,0.268
iu3Qvgiyqbk3FOkJ6LLg4C,61,0.181,0.66,227640,0.711,7.47e-6,0.0647,Major,0.0334,109.328,0.726
aYicDgrW1PZTHYPJhweXrZ,20,0.675,0.588,183520,0.256,0,0.704,Major,0.948,102.405,0.317
z0pUp4iZ768FtUj7r8hXJC,59,0.0366,0.57,213947,0.437,0.0976,0.114,Major,0.0329,75.167,0.259
DrNJIm63CUh55xJOGxC04M,50,0.227,0.615,249479,0.386,0.523,0.116,Major,0.0315,120.032,0.442
BoYJp3WBgHWSLEipaexZrX,22,0.936,0.25,366000,0.0417,0.716,0.0744,Major,0.046,67.553,0.0788
uPV6NTn58xc001JVYNlZcU,64,0.0457,0.529,199747,0.891,0,0.0942,Major,0.043,104.031,0.329
A9NFPLzjOn582MBiv2nQHD,58,0.968,0.366,364648,0.336,0.934,0.0898,Major,0.0367,140.037,0.0542
JxV59EGZaA5tItJJqQcxlZ,67,0.267,0.639,194467,0.415,9.12e-4,0.636,Major,0.042,105.928,0.671
HQrsZyN8ylkA8GSpLbDEu4,54,0.00819,0.468,241800,0.743,7.88e-5,0.369,Major,0.0326,156.103,0.648
hyX8JyXWB2y7dxOiA3FLR5,19,0.838,0.49,470040,0.753,0,0.762,Minor,0.938,83.792,0.578
Hh6x0kbwAJIsM9VlgjV2Ax,18,0.752,0.531,106953,0.672,0,0.671,Major,0.937,90.768,0.537
iwBZ77mTFS7k1qcfpPay0R,45,0.955,0.208,157160,0.0899,0.0204,0.313,Major,0.0486,111.787,0.0388
bzm7hej8sfIOhdBbnPOI6I,76,0.0465,0.382,243360,0.589,0,0.122,Minor,0.0267,140.059,0.335
bsAcHEoNiwhJakgEBw3fDo,56,0.0116,0.433,254840,0.752,6.67e-4,0.59,Major,0.113,122.901,0.362
ImjHbg5esmCSuUzz4Od3jT,27,0.895,0.228,173680,0.228,4.47e-5,0.0833,Major,0.0369,72.701,0.116
hT2t351Ir1sY396rn4X9yz,56,0.0116,0.507,291786,0.666,0.343,0.129,Major,0.029,77.979,0.185
799X6UocEcXaKlDkaOT2Lo,22,0.542,0.705,210733,0.871,0,0.947,Minor,0.941,65.267,0.535
OQq9RsMkXHyxsZepHSaCWW,29,0.768,0.572,75000,0.974,0,0.921,Major,0.816,70.647,0.434
6bc34tJMunreImAqcZQ4qb,33,0.994,0.271,240213,0.0258,0.945,0.106,Major,0.0441,69.576,0.092
bcqhP9DLlouvaDZ3tdwZrq,26,0.728,0.587,411600,0.906,0,0.954,Major,0.886,109.833,0.394
mAjViDoB9oNiiyQXsRAibS,24,0.996,0.427,306067,0.0067,0.931,0.0748,Major,0.0587,83.576,0.0397
B4ki6ky5FHqhg3HtjX6SPs,55,0.0468,0.525,210547,0.8,0,0.197,Major,0.036,142.005,0.498
bW2znFRe2mr2iahxFZd7KS,37,0.72,0.592,325219,0.829,0,0.656,Major,0.954,80.853,0.315
UTo93bDTTHXR3xLoRfjPjX,47,0.963,0.308,586173,0.217,0.858,0.334,Minor,0.0429,108.887,0.443
iQmABtp4xPihjkknZ823uh,23,0.782,0.275,576200,0.315,0.00188,0.316,Minor,0.057,122.642,0.0359
jJh006lxsXr5XOjfnDv8T0,26,0.994,0.436,78933,0.0327,0.897,0.0987,Major,0.0478,124.109,0.0368
xUQmUItge7nL6cbblR262B,29,0.873,0.539,221573,0.658,0,0.913,Major,0.886,100.511,0.234
cvl7cID4b4qG3kkDUtReEL,14,0.876,0.639,162740,0.477,0,0.776,Minor,0.933,78.436,0.544
oTDvk8BOGg40Qz9ZqgDRE1,0,0.977,0.33,460053,0.0359,0.661,0.234,Major,0.0353,134.186,0.0718
8tIxWfQagujzmQ2nddyZNW,53,0.0303,0.463,375307,0.943,0.213,0.0251,Major,0.0419,111.577,0.55
IDhHvl2RscL7SNs3gSMCZj,11,0.974,0.341,494400,0.0549,0.219,0.213,Minor,0.0367,76.946,0.173
