circuit,gender,year,attacks,kills,errors,aces,serve_errors,blocks,digs,win
AVP,W,2004,37,25,3,2,2,7,15,win
AVP,W,2004,49,30,3,5,3,1,20,win
AVP,W,2004,44,29,4,1,2,2,15,win
AVP,W,2004,58,25,6,1,1,4,23,win
AVP,W,2004,39,28,1,0,0,4,13,win
AVP,W,2004,70,37,6,1,4,4,24,win
AVP,W,2004,41,27,3,1,0,3,13,win
AVP,M,2004,32,30,0,0,0,8,12,win
AVP,M,2004,67,39,6,0,4,3,22,win
AVP,M,2004,49,21,4,4,4,4,19,win
AVP,M,2004,32,22,1,3,1,5,9,win
AVP,M,2004,48,29,12,2,3,1,9,win
AVP,M,2004,54,33,5,1,9,4,14,win
AVP,M,2004,46,24,12,0,4,5,10,win
AVP,M,2004,48,28,4,1,1,3,15,win
AVP,M,2004,37,20,5,1,3,2,13,win
AVP,M,2004,49,35,9,0,1,7,13,win
AVP,M,2004,51,30,6,1,2,0,10,win
AVP,M,2004,48,29,3,2,4,1,27,win
AVP,M,2004,31,22,4,0,0,6,13,win
AVP,M,2004,68,30,12,1,2,7,23,win
AVP,M,2004,63,29,11,0,2,4,16,win
AVP,M,2004,41,19,5,3,3,1,22,win
AVP,M,2004,44,31,5,0,0,2,15,win
AVP,M,2004,65,40,8,3,3,7,18,win
AVP,M,2004,57,34,5,0,5,5,8,win
AVP,M,2004,46,28,2,0,0,3,16,win
AVP,M,2004,74,44,12,0,9,4,13,win
AVP,M,2004,45,29,5,1,1,6,14,win
AVP,M,2004,48,28,8,0,0,6,15,win
AVP,M,2004,43,32,5,2,6,1,10,win
AVP,M,2004,43,28,7,0,0,6,10,win
AVP,M,2004,63,36,3,0,1,9,22,win
AVP,M,2004,44,30,3,0,1,8,23,win
AVP,M,2004,50,31,1,0,0,4,13,win
AVP,M,2004,50,31,7,1,1,6,13,win
AVP,M,2004,55,28,11,4,3,6,23,win
AVP,M,2004,46,26,5,1,3,7,11,win
AVP,M,2004,26,19,2,5,4,11,6,win
AVP,M,2004,58,34,9,0,3,3,14,win
AVP,M,2004,59,31,3,1,2,2,24,win
AVP,M,2004,45,27,4,3,5,5,13,win
AVP,M,2004,45,31,9,1,4,1,13,win
AVP,M,2004,40,28,1,1,2,3,9,win
AVP,M,2004,54,36,5,3,7,0,12,win
AVP,M,2004,54,33,8,1,3,2,14,win
AVP,M,2004,52,28,6,1,9,4,18,win
AVP,M,2004,63,32,9,1,3,3,19,win
AVP,M,2004,57,37,16,2,2,3,8,win
AVP,M,2004,79,44,15,2,1,1,26,win
AVP,M,2004,52,32,9,3,1,8,13,win
AVP,M,2004,41,27,5,2,2,3,7,win
AVP,M,2004,38,22,2,0,0,6,16,win
AVP,M,2004,52,30,4,2,7,6,15,win
AVP,M,2004,30,25,3,3,5,2,4,win
AVP,M,2004,60,35,10,0,3,10,17,win
AVP,M,2004,90,48,7,1,7,5,28,win
AVP,M,2004,49,27,1,3,2,6,16,win
AVP,M,2004,29,23,3,0,2,6,10,win
AVP,M,2004,41,28,4,4,7,4,9,win
AVP,M,2004,77,41,8,2,7,7,18,win
AVP,M,2004,47,29,1,1,6,6,11,win
AVP,M,2004,63,36,11,3,6,2,16,win
AVP,M,2004,56,31,12,6,6,3,5,win
AVP,M,2004,86,38,13,0,0,8,26,win
AVP,M,2004,65,30,6,2,2,6,26,win
AVP,M,2004,50,28,3,1,0,6,16,win
AVP,W,2004,44,29,1,2,1,2,22,win
AVP,W,2004,33,21,3,3,3,0,12,win
AVP,W,2004,39,26,3,4,4,0,14,win
AVP,W,2004,33,21,4,4,4,4,17,win
AVP,W,2004,40,29,4,3,3,3,18,win
AVP,W,2004,34,30,1,3,9,3,15,win
AVP,W,2004,48,29,3,1,2,4,20,win
AVP,W,2004,28,19,1,1,0,1,14,win
AVP,W,2004,59,29,6,0,0,1,17,win
AVP,W,2004,58,35,6,5,4,5,15,win
AVP,W,2004,46,28,5,2,2,4,22,win
AVP,W,2004,32,19,2,3,3,2,18,win
AVP,W,2004,49,26,5,6,3,2,21,win
AVP,W,2004,52,28,7,1,5,1,21,win
AVP,W,2004,67,40,5,4,5,2,38,win
AVP,W,2004,38,23,7,3,6,2,14,win
AVP,W,2004,53,30,2,0,4,2,17,win
AVP,W,2004,73,36,8,3,2,3,22,win
AVP,W,2004,38,30,3,4,2,2,10,win
AVP,W,2004,50,30,2,1,1,2,18,win
AVP,W,2004,58,32,2,1,2,2,18,win
AVP,W,2004,65,32,5,3,3,5,19,win
AVP,W,2004,51,29,2,1,1,3,20,win
AVP,W,2004,53,32,5,1,1,4,24,win
AVP,W,2004,58,31,2,2,4,7,19,win
AVP,W,2004,30,23,1,1,3,2,17,win
AVP,W,2004,61,28,6,3,2,2,26,win
AVP,W,2004,29,18,4,6,4,2,8,win
AVP,W,2004,47,34,3,3,6,3,15,win
AVP,W,2004,32,22,1,3,1,1,17,win
AVP,W,2004,45,18,5,8,3,1,18,win
AVP,W,2004,55,27,7,9,4,2,23,win
AVP,W,2004,20,8,5,2,0,0,5,win
AVP,W,2004,39,28,5,1,1,2,12,win
AVP,W,2004,48,23,8,8,1,5,21,win
AVP,W,2004,37,30,1,2,5,1,16,win
AVP,W,2004,34,25,2,3,5,2,7,win
AVP,W,2004,61,26,1,4,3,0,26,win
AVP,W,2004,36,21,3,2,6,3,10,win
AVP,W,2004,46,33,4,2,4,1,10,win
AVP,W,2004,74,35,14,3,2,8,30,win
AVP,W,2004,43,25,6,2,3,4,16,win
AVP,W,2004,36,24,4,4,2,2,9,win
AVP,W,2004,44,28,5,3,3,0,19,win
AVP,W,2004,43,28,5,2,3,2,9,win
AVP,W,2004,43,26,6,2,1,1,18,win
AVP,W,2004,60,31,8,4,2,0,30,win
AVP,W,2004,78,48,8,1,3,2,34,win
AVP,W,2004,36,25,2,1,0,7,14,win
AVP,W,2004,35,29,3,0,0,1,31,win
AVP,W,2004,53,28,3,3,1,6,23,win
AVP,W,2004,47,25,3,2,2,4,22,win
AVP,W,2004,60,34,4,1,0,1,33,win
AVP,W,2004,51,36,5,0,5,4,9,win
AVP,W,2004,59,21,9,5,3,4,19,win
AVP,W,2004,71,31,11,1,1,5,19,win
AVP,M,2004,35,25,2,0,1,6,10,win
AVP,M,2004,42,31,2,0,2,1,7,win
AVP,M,2004,76,23,18,1,4,10,50,win
AVP,M,2004,47,33,10,1,1,3,11,win
AVP,M,2004,29,20,3,2,2,6,6,win
AVP,M,2004,56,36,8,4,5,5,16,win
AVP,M,2004,52,31,7,1,2,4,15,win
AVP,M,2004,34,23,2,2,6,3,15,win
AVP,M,2004,71,31,36,0,0,8,40,win
AVP,M,2004,43,24,10,4,2,0,13,win
AVP,M,2004,49,28,3,3,3,8,18,win
AVP,M,2004,33,24,3,4,5,4,11,win
AVP,M,2004,25,17,2,0,2,5,25,win
AVP,M,2004,59,31,10,4,5,7,11,win
AVP,M,2004,46,27,4,1,2,5,17,win
AVP,M,2004,68,32,11,2,6,5,16,win
AVP,M,2004,54,29,7,1,0,8,17,win
AVP,M,2004,42,28,3,0,5,8,8,win
